m49_code,country,region,cpc_code,commodity,year,loss_percentage,loss_percentage_original,loss_quantity,activity,food_supply_stage,treatment,cause_of_loss,sample_size,method_data_collection,reference,url,notes
204,Benin,Central,112,Maize (corn),1995,2.3,2.3%,,Storage,Storage,Late harvesting time,,,Controlled Experiment,"C. Borgemeisterab; C. Addaa; M. SeÂtamouab; K. Hellab; B. Djomamoua; R.H. Markhama; K.F. Cardwella, (1998), Timing Of Harvest In Maize: Effects On Post Harvest Losses Due To Insects And Fungi In Central Benin, With Particular Reference To Prostephanus Truncatus (Horn) (Coleoptera: Bostrichidae)",,
204,Benin,Central,112,Maize (corn),1995,2.8,2.8%,,Storage,Storage,Early harvesting time,,,Controlled Experiment,"C. Borgemeisterab; C. Addaa; M. SeÂtamouab; K. Hellab; B. Djomamoua; R.H. Markhama; K.F. Cardwella, (1998), Timing Of Harvest In Maize: Effects On Post Harvest Losses Due To Insects And Fungi In Central Benin, With Particular Reference To Prostephanus Truncatus (Horn) (Coleoptera: Bostrichidae)",,
288,Ghana,Accra and Tamale,1706,"Cow peas, dry",1995,31.07.00,6.67-54.67,,"Marketing, Storage, Trading",Trader,November,Untreated Storage,eight traders in Tamale market.,Case Study,"Tran, B.M.D.; Golob, P., (1999), Improvements In The Storage And Marketing Quality Of Grain Legumes: Final Technical Report",http://gala.gre.ac.uk/11537/1/11537_Golob_Improvements%20in%20the%20storage%20(monograph)%201999.pdf,
840,United States of America,,22290,Dairy products n.e.c.,1995,2,2%,"21,802 Million pounds",Retailing,Retail,Dairy Products,,,Literature Review,"Linda Scott Kantor; Kathryn Lipton; Alden Manchester; Victor Oliveira, (1997), Estimating And Addressing America’s Food Losses",,
840,United States of America,,22290,Dairy products n.e.c.,1995,30,30%,"6,541 Million pounds",Consumption,Households,Dairy Products,,,Literature Review,"Linda Scott Kantor; Kathryn Lipton; Alden Manchester; Victor Oliveira, (1997), Estimating And Addressing America’s Food Losses",,
800,Uganda,,1706,"Cow peas, dry",1996,3,3%,,Storage,Storage,Earthen ware plus ash,,,Controlled Experiment,"Tran, B.M.D.; Golob, P., (1999), Improvements In The Storage And Marketing Quality Of Grain Legumes: Final Technical Report",,
231,Ethiopia,,112,Maize (corn),1998,0.5,0.5,,Storage,Storage,Use of insecticides,"There was considerable variation in the levels ofloss between crops. In wheat and  barley they were very low (around 1 %). These crops are typically grown at the higher  altitudes, where insect activity is low and storage periods are short (3-4 months).  Sorghum and maize suffered higher losses (4-6%). However, it was demonstrated  that correct application of storage insecticides achieved a significant reduction of  losses in maize (to 0.5%). Losses in beans were very variable (<1%- 15%).",,Expert Opinion,"Robin Boxall, (1988), Grains Post-Harvest Loss Assessment In Ethiopia",http://gala.gre.ac.uk/10758/1/Doc-0205.pdf,
288,Ghana,,112,Maize (corn),1998,5.3,5.3%,,Storage,Storage,LocalÐ`Fodome' (local variety with small grains of inter- mediate hardness) with husk,pests,12,Controlled Experiment,"J.A.F. Comptona; J. Sherington, (1999), Rapid Assessment Methods For Stored Maize Cobs: Weight Losses Due To Insect Pests",,
288,Ghana,Eastern Ghana,112,Maize (corn),1998,11.1,11.1,,,Storage,"different varieties of maize (Kwadzeto, Abeleehi),",pest in storage,,Controlled Experiment,"J.A.F. Comptona; J. Sherington, (1999), Rapid Assessment Methods For Stored Maize Cobs: Weight Losses Due To Insect Pests",,
288,Ghana,,112,Maize (corn),1998,4.8,4.8%,,Storage,Storage,"AbeÐ`Abeleehi' (medium-grained, flinty dent) with husk",pests,114,Controlled Experiment,"J.A.F. Comptona; J. Sherington, (1999), Rapid Assessment Methods For Stored Maize Cobs: Weight Losses Due To Insect Pests",,
288,Ghana,,112,Maize (corn),1998,17.6,17.6%,,Storage,Storage,"Oba- `Obatampa' (large-grained, flinty) with husk and dehusked",pests,32,Controlled Experiment,"J.A.F. Comptona; J. Sherington, (1999), Rapid Assessment Methods For Stored Maize Cobs: Weight Losses Due To Insect Pests",,
288,Ghana,,112,Maize (corn),1998,21.5,21.5%,,Storage,Storage,LocalÐ`Fodome' (local variety with small grains of inter- mediate hardness) with husk,pests,78,Controlled Experiment,"J.A.F. Comptona; J. Sherington, (1999), Rapid Assessment Methods For Stored Maize Cobs: Weight Losses Due To Insect Pests",,
288,Ghana,,112,Maize (corn),1998,12.1,12.1%,,Storage,Storage,"Oba- `Obatampa' (large-grained, flinty) with husk and dehusked",pests,16,Controlled Experiment,"J.A.F. Comptona; J. Sherington, (1999), Rapid Assessment Methods For Stored Maize Cobs: Weight Losses Due To Insect Pests",,
764,Thailand,,1214,Lettuce and chicory,1999,29.25.00,20.9-36.8,,Collection,Trader,Butterhead Lettuce,Pests and disorders,,Literature Review,"Lisa Kitinoja, (2010), Identification Of Appropriate Postharvest Technologies For Improving Market Access And Incomes For Small Horticultural Farmers In Sub-Saharan Africa And South Asia",http://ucanr.edu/datastoreFiles/234-1847.pdf,
764,Thailand,,1214,Lettuce and chicory,1999,27.7,19.5-35.9,,Collection,Trader,Cos Lettuce,Pests and Disorders,,Literature Review,"Lisa Kitinoja, (2010), Identification Of Appropriate Postharvest Technologies For Improving Market Access And Incomes For Small Horticultural Farmers In Sub-Saharan Africa And South Asia",http://ucanr.edu/datastoreFiles/234-1847.pdf,
764,Thailand,,1214,Lettuce and chicory,1999,30.4,20.7-40.1,,Collection,Trader,Head Lettuce,,,Literature Review,"Lisa Kitinoja, (2010), Identification Of Appropriate Postharvest Technologies For Improving Market Access And Incomes For Small Horticultural Farmers In Sub-Saharan Africa And South Asia",http://ucanr.edu/datastoreFiles/234-1847.pdf,
764,Thailand,,1214,Lettuce and chicory,1999,23.15,16.6-28.9,,Collection,Trader,Red Leaf Luttuce,,,Literature Review,"Lisa Kitinoja, (2010), Identification Of Appropriate Postharvest Technologies For Improving Market Access And Incomes For Small Horticultural Farmers In Sub-Saharan Africa And South Asia",http://ucanr.edu/datastoreFiles/234-1847.pdf,
764,Thailand,,1291.30.00,"Other vegetables, fresh n.e.c.",1999,26.7,17.5-35.9,,Collection,Trader,Celery,Pests and disorders,,Literature Review,"Lisa Kitinoja, (2010), Identification Of Appropriate Postharvest Technologies For Improving Market Access And Incomes For Small Horticultural Farmers In Sub-Saharan Africa And South Asia",http://ucanr.edu/datastoreFiles/234-1847.pdf,"Sourced from Boonyakiat, 1999"
156,China,"Daxing, Tongxian, and Yanqing",1212,Cabbages,2001,4,3.0-5,,Farm,Farm,Trimming,,,Expert Opinion,"Tim O’Hare; John Bagshaw; Wu Li; ; Greg Johnson, (2001), Postharvest Handling Of Fresh Vegetables",http://aciar.gov.au/files/node/2249/p105chapter1.pdf,
156,China,Xiasha Town,1212,Cabbages,2001,5,5,,Harvesting,Harvest,Harvesting for storage,,,Expert Opinion,"Tim O’Hare; John Bagshaw; Wu Li; ; Greg Johnson, (2001), Postharvest Handling Of Fresh Vegetables",http://aciar.gov.au/files/node/2249/p105chapter1.pdf,
156,China,"Daxing, Tongxian, and Yanqing",1212,Cabbages,2001,5,5,,Harvesting,Harvest,Harvesting for export,,,Expert Opinion,"Tim O’Hare; John Bagshaw; Wu Li; ; Greg Johnson, (2001), Postharvest Handling Of Fresh Vegetables",http://aciar.gov.au/files/node/2249/p105chapter1.pdf,
156,China,"Daxing, Tongxian, and Yanqing",1212,Cabbages,2001,47.5,45-50,,Collection,Trader,Trimming,Trimming &collection,,Expert Opinion,"Tim O’Hare; John Bagshaw; Wu Li; ; Greg Johnson, (2001), Postharvest Handling Of Fresh Vegetables",http://aciar.gov.au/files/node/2249/p105chapter1.pdf,
156,China,"Daxing, Tongxian, and Yanqing counties, which are satellite towns of Beijing, and in Jixian County of Hebei Province, which is a suburb very close to Beijing",1212,Cabbages,2001,1.5,1.0-2,,Farm,Farm,Trimming,Trimming,,Expert Opinion,"Tim O’Hare; John Bagshaw; Wu Li; ; Greg Johnson, (2001), Postharvest Handling Of Fresh Vegetables",http://aciar.gov.au/files/node/2249/p105chapter1.pdf,
156,China,"Daxing, Tongxian, and Yanqing",1212,Cabbages,2001,2.5,2.0-3,,Drying,Farm,Cabbage for storage,Pre-cooling and  packaging,,Expert Opinion,"Tim O’Hare; John Bagshaw; Wu Li; ; Greg Johnson, (2001), Postharvest Handling Of Fresh Vegetables",http://aciar.gov.au/files/node/2249/p105chapter1.pdf,
156,China,"Daxing, Tongxian, and Yanqing",1212,Cabbages,2001,5,5,,Harvesting,Harvest,Harvesting for fresh market,,,Expert Opinion,"Tim O’Hare; John Bagshaw; Wu Li; ; Greg Johnson, (2001), Postharvest Handling Of Fresh Vegetables",http://aciar.gov.au/files/node/2249/p105chapter1.pdf,
410,Republic of Korea,,1354,Strawberries,2001,5,5%,,Transportation,Transport,Refrigeration during transportation,,,Literature Review,"Asian Productivity Organization; FAO, (2006), Postharvest Management Of Fruit And Vegetables In The Asia-Pacific Region",,
410,Republic of Korea,,1354,Strawberries,2001,65,65%,,Transportation,Transport,Ambient conditions during transportation,,,Literature Review,"Asian Productivity Organization; FAO, (2006), Postharvest Management Of Fruit And Vegetables In The Asia-Pacific Region",,
454,Malawi,,114,Sorghum,2002,1.7,1.2% - 2.2%,,Storage,Storage,Storage 9 Months,Insects,,Literature Review,"Peter Golob, Graham Farrell; John E. Orchard, (2002), Crop Post-Harvest: Science And Technology",,Sourced from Golob 1981
792,Turkey,,111,Wheat,2002,3.7,1.8 - 5.6,,Storage,Storage,Storage 8 Months,"Insects, moulds, rodents",,Literature Review,"Peter Golob, Graham Farrell; John E. Orchard, (2002), Crop Post-Harvest: Science And Technology",,Sourced from Boxall
834,United Republic of Tanzania,,112,Maize (corn),2002,8.7,8.7%,,Storage,Storage,Storage 3- 6.5 Months,"Insects, moulds, rodents",,Literature Review,"Peter Golob, Graham Farrell; John E. Orchard, (2002), Crop Post-Harvest: Science And Technology",,Sourced from Hodges et al 1983
894,Zambia,,112,Maize (corn),2002,4.05,1.7 - 5.6,,Storage,Storage,Storage 8 Months,Insects,,Literature Review,"Peter Golob, Graham Farrell; John E. Orchard, (2002), Crop Post-Harvest: Science And Technology",,Sourced from Adams and Harman 1977
356,India,,1252,Green garlic,2003,25.39.00,25.39%,,Storage,Storage,Top and bottom double row ventilated structure,,,Controlled Experiment,"Prakash Tripathi; V. Sankar; K.E. Lawande, (2009), Effect Of Storage Environment And Packing Methods On Storage Losses In Garlic",,
356,India,,1252,Green garlic,2003,32.33.00,31.93%,,Storage,Storage,Tradition double row storage structure without ventilation,,,Controlled Experiment,"Prakash Tripathi; V. Sankar; K.E. Lawande, (2009), Effect Of Storage Environment And Packing Methods On Storage Losses In Garlic",,
356,India,,1252,Green garlic,2003,27.43.00,27.43%,,Storage,Storage,Modified ventilated double row storage structure,,,Controlled Experiment,"Prakash Tripathi; V. Sankar; K.E. Lawande, (2009), Effect Of Storage Environment And Packing Methods On Storage Losses In Garlic",,
356,India,,1252,Green garlic,2003,30.51.00,30.51%,,Storage,Storage,Bottom ventilated double row storage structure with chain links,,,Controlled Experiment,"Prakash Tripathi; V. Sankar; K.E. Lawande, (2009), Effect Of Storage Environment And Packing Methods On Storage Losses In Garlic",,
524,Nepal,,1234,Tomatoes,2003,18.1,18.1%,,Storage,Storage,Three quarter red tomato,,,Literature Review,"Asian Productivity Organization; FAO, (2006), Postharvest Management Of Fruit And Vegetables In The Asia-Pacific Region",,
524,Nepal,,1234,Tomatoes,2003,14,14%,,Storage,Storage,a quarter red tomato,,,Literature Review,"Asian Productivity Organization; FAO, (2006), Postharvest Management Of Fruit And Vegetables In The Asia-Pacific Region",,
524,Nepal,,1234,Tomatoes,2003,25.2,25.2%,,Storage,Storage,Fully ripe tomato,,,Literature Review,"Asian Productivity Organization; FAO, (2006), Postharvest Management Of Fruit And Vegetables In The Asia-Pacific Region",,
524,Nepal,,1251,Carrots and turnips,2003,14.8,14.8%,,Storage,Storage,Zero energy storage structure,,,Literature Review,"Asian Productivity Organization; FAO, (2006), Postharvest Management Of Fruit And Vegetables In The Asia-Pacific Region",,
524,Nepal,,1251,Carrots and turnips,2003,6.27,5.87%,,Storage,Storage,Zero energy storage structure,,,Literature Review,"Asian Productivity Organization; FAO, (2006), Postharvest Management Of Fruit And Vegetables In The Asia-Pacific Region",,
116,Cambodia,,1213,Cauliflowers and broccoli,2006,5,5%,52kg/MT,Retailing,Retail,Dry season 2 ( January to April),,,Survey,"Christian Genova II; Katinka Weinberger; Srun Sokhom; Phnom Penh; Mong Vanndy; Chan Yarith, (2006), Postharvest Loss In The Supply Chain For Vegetables – The Case Of Tomato, Yardlong Bean, Cucumber And Chinese Kale In Cambodia",,
116,Cambodia,,1213,Cauliflowers and broccoli,2006,3,3%,37kg/MT,Farm,Farm,Wet season  ( May to October),,,Survey,"Christian Genova II; Katinka Weinberger; Srun Sokhom; Phnom Penh; Mong Vanndy; Chan Yarith, (2006), Postharvest Loss In The Supply Chain For Vegetables – The Case Of Tomato, Yardlong Bean, Cucumber And Chinese Kale In Cambodia",,
116,Cambodia,,1213,Cauliflowers and broccoli,2006,3,3%,31kg/MT,Collection,Trader,Wet season  ( May to October),,,Survey,"Christian Genova II; Katinka Weinberger; Srun Sokhom; Phnom Penh; Mong Vanndy; Chan Yarith, (2006), Postharvest Loss In The Supply Chain For Vegetables – The Case Of Tomato, Yardlong Bean, Cucumber And Chinese Kale In Cambodia",,
116,Cambodia,,1213,Cauliflowers and broccoli,2006,5,5%,52kg/MT,Retailing,Retail,Wet season  ( May to October),,,Survey,"Christian Genova II; Katinka Weinberger; Srun Sokhom; Phnom Penh; Mong Vanndy; Chan Yarith, (2006), Postharvest Loss In The Supply Chain For Vegetables – The Case Of Tomato, Yardlong Bean, Cucumber And Chinese Kale In Cambodia",,
116,Cambodia,,1213,Cauliflowers and broccoli,2006,3,3%,31kg/MT,Collection,Trader,Dry season 2 ( January to April),,,Survey,"Christian Genova II; Katinka Weinberger; Srun Sokhom; Phnom Penh; Mong Vanndy; Chan Yarith, (2006), Postharvest Loss In The Supply Chain For Vegetables – The Case Of Tomato, Yardlong Bean, Cucumber And Chinese Kale In Cambodia",,
116,Cambodia,,1213,Cauliflowers and broccoli,2006,3,3%,31kg/MT,Collection,Trader,Dry season 1 ( November to January),,,Survey,"Christian Genova II; Katinka Weinberger; Srun Sokhom; Phnom Penh; Mong Vanndy; Chan Yarith, (2006), Postharvest Loss In The Supply Chain For Vegetables – The Case Of Tomato, Yardlong Bean, Cucumber And Chinese Kale In Cambodia",,
116,Cambodia,,1213,Cauliflowers and broccoli,2006,5,5%,52kg/MT,Retailing,Retail,Dry season 1 ( November to January),,,Survey,"Christian Genova II; Katinka Weinberger; Srun Sokhom; Phnom Penh; Mong Vanndy; Chan Yarith, (2006), Postharvest Loss In The Supply Chain For Vegetables – The Case Of Tomato, Yardlong Bean, Cucumber And Chinese Kale In Cambodia",,
116,Cambodia,,1213,Cauliflowers and broccoli,2006,6,6%,44kg/MT,Wholesale,Wholesale,Dry season 2 ( January to April),,,Survey,"Christian Genova II; Katinka Weinberger; Srun Sokhom; Phnom Penh; Mong Vanndy; Chan Yarith, (2006), Postharvest Loss In The Supply Chain For Vegetables – The Case Of Tomato, Yardlong Bean, Cucumber And Chinese Kale In Cambodia",,
116,Cambodia,,1213,Cauliflowers and broccoli,2006,4,4%,44kg/MT,Wholesale,Wholesale,Wet season  ( May to October),,,Survey,"Christian Genova II; Katinka Weinberger; Srun Sokhom; Phnom Penh; Mong Vanndy; Chan Yarith, (2006), Postharvest Loss In The Supply Chain For Vegetables – The Case Of Tomato, Yardlong Bean, Cucumber And Chinese Kale In Cambodia",,
116,Cambodia,,1213,Cauliflowers and broccoli,2006,4,4%,37kg/MT,Farm,Farm,Dry season 1 ( November to January),,,Survey,"Christian Genova II; Katinka Weinberger; Srun Sokhom; Phnom Penh; Mong Vanndy; Chan Yarith, (2006), Postharvest Loss In The Supply Chain For Vegetables – The Case Of Tomato, Yardlong Bean, Cucumber And Chinese Kale In Cambodia",,
116,Cambodia,,1213,Cauliflowers and broccoli,2006,4,4%,44kg/MT,Wholesale,Wholesale,Dry season 1 ( November to January),,,Survey,"Christian Genova II; Katinka Weinberger; Srun Sokhom; Phnom Penh; Mong Vanndy; Chan Yarith, (2006), Postharvest Loss In The Supply Chain For Vegetables – The Case Of Tomato, Yardlong Bean, Cucumber And Chinese Kale In Cambodia",,
116,Cambodia,,1213,Cauliflowers and broccoli,2006,4,4%,37kg/MT,Farm,Farm,Dry season 2 ( January to April),,,Survey,"Christian Genova II; Katinka Weinberger; Srun Sokhom; Phnom Penh; Mong Vanndy; Chan Yarith, (2006), Postharvest Loss In The Supply Chain For Vegetables – The Case Of Tomato, Yardlong Bean, Cucumber And Chinese Kale In Cambodia",,
116,Cambodia,,1232,Cucumbers and gherkins,2006,4,4%,42kg/MT,Collection,Trader,Wet season  ( May to October),,,Survey,"Christian Genova II; Katinka Weinberger; Srun Sokhom; Phnom Penh; Mong Vanndy; Chan Yarith, (2006), Postharvest Loss In The Supply Chain For Vegetables – The Case Of Tomato, Yardlong Bean, Cucumber And Chinese Kale In Cambodia",,
116,Cambodia,,1232,Cucumbers and gherkins,2006,4,4%,44kg/MT,Retailing,Retail,Wet season  ( May to October),,,Survey,"Christian Genova II; Katinka Weinberger; Srun Sokhom; Phnom Penh; Mong Vanndy; Chan Yarith, (2006), Postharvest Loss In The Supply Chain For Vegetables – The Case Of Tomato, Yardlong Bean, Cucumber And Chinese Kale In Cambodia",,
116,Cambodia,,1232,Cucumbers and gherkins,2006,4,4%,48kg/MT,Wholesale,Wholesale,Dry season 2 ( January to April),,,Survey,"Christian Genova II; Katinka Weinberger; Srun Sokhom; Phnom Penh; Mong Vanndy; Chan Yarith, (2006), Postharvest Loss In The Supply Chain For Vegetables – The Case Of Tomato, Yardlong Bean, Cucumber And Chinese Kale In Cambodia",,
116,Cambodia,,1232,Cucumbers and gherkins,2006,5,5%,42kg/MT,Collection,Trader,Dry season 2 ( January to April),,,Survey,"Christian Genova II; Katinka Weinberger; Srun Sokhom; Phnom Penh; Mong Vanndy; Chan Yarith, (2006), Postharvest Loss In The Supply Chain For Vegetables – The Case Of Tomato, Yardlong Bean, Cucumber And Chinese Kale In Cambodia",,
116,Cambodia,,1232,Cucumbers and gherkins,2006,5,5%,44kg/MT,Retailing,Retail,Dry season 2 ( January to April),,,Survey,"Christian Genova II; Katinka Weinberger; Srun Sokhom; Phnom Penh; Mong Vanndy; Chan Yarith, (2006), Postharvest Loss In The Supply Chain For Vegetables – The Case Of Tomato, Yardlong Bean, Cucumber And Chinese Kale In Cambodia",,
116,Cambodia,,1232,Cucumbers and gherkins,2006,4,4%,48kg/MT,Wholesale,Wholesale,Dry season 1 ( November to January),,,Survey,"Christian Genova II; Katinka Weinberger; Srun Sokhom; Phnom Penh; Mong Vanndy; Chan Yarith, (2006), Postharvest Loss In The Supply Chain For Vegetables – The Case Of Tomato, Yardlong Bean, Cucumber And Chinese Kale In Cambodia",,
116,Cambodia,,1232,Cucumbers and gherkins,2006,5,5%,48kg/MT,Wholesale,Wholesale,Wet season  ( May to October),,,Survey,"Christian Genova II; Katinka Weinberger; Srun Sokhom; Phnom Penh; Mong Vanndy; Chan Yarith, (2006), Postharvest Loss In The Supply Chain For Vegetables – The Case Of Tomato, Yardlong Bean, Cucumber And Chinese Kale In Cambodia",,
116,Cambodia,,1232,Cucumbers and gherkins,2006,9,9%,63kg/MT,Farm,Farm,Wet season  ( May to October),,,Survey,"Christian Genova II; Katinka Weinberger; Srun Sokhom; Phnom Penh; Mong Vanndy; Chan Yarith, (2006), Postharvest Loss In The Supply Chain For Vegetables – The Case Of Tomato, Yardlong Bean, Cucumber And Chinese Kale In Cambodia",,
116,Cambodia,,1232,Cucumbers and gherkins,2006,4,4%,42kg/MT,Collection,Trader,Dry season 1 ( November to January),,,Survey,"Christian Genova II; Katinka Weinberger; Srun Sokhom; Phnom Penh; Mong Vanndy; Chan Yarith, (2006), Postharvest Loss In The Supply Chain For Vegetables – The Case Of Tomato, Yardlong Bean, Cucumber And Chinese Kale In Cambodia",,
116,Cambodia,,1232,Cucumbers and gherkins,2006,5,5%,63kg/MT,Farm,Farm,Dry season 2 ( January to April),,,Survey,"Christian Genova II; Katinka Weinberger; Srun Sokhom; Phnom Penh; Mong Vanndy; Chan Yarith, (2006), Postharvest Loss In The Supply Chain For Vegetables – The Case Of Tomato, Yardlong Bean, Cucumber And Chinese Kale In Cambodia",,
116,Cambodia,,1232,Cucumbers and gherkins,2006,4,4%,44kg/MT,Retailing,Retail,Dry season 1 ( November to January),,,Survey,"Christian Genova II; Katinka Weinberger; Srun Sokhom; Phnom Penh; Mong Vanndy; Chan Yarith, (2006), Postharvest Loss In The Supply Chain For Vegetables – The Case Of Tomato, Yardlong Bean, Cucumber And Chinese Kale In Cambodia",,
116,Cambodia,,1232,Cucumbers and gherkins,2006,5,5%,63kg/MT,Farm,Farm,Dry season 1 ( November to January),,,Survey,"Christian Genova II; Katinka Weinberger; Srun Sokhom; Phnom Penh; Mong Vanndy; Chan Yarith, (2006), Postharvest Loss In The Supply Chain For Vegetables – The Case Of Tomato, Yardlong Bean, Cucumber And Chinese Kale In Cambodia",,
116,Cambodia,,1234,Tomatoes,2006,6,6%,58kg/MT,Retailing,Retail,Wet season  ( May to October),,,Survey,"Christian Genova II; Katinka Weinberger; Srun Sokhom; Phnom Penh; Mong Vanndy; Chan Yarith, (2006), Postharvest Loss In The Supply Chain For Vegetables – The Case Of Tomato, Yardlong Bean, Cucumber And Chinese Kale In Cambodia",,
116,Cambodia,,1234,Tomatoes,2006,4,4%,67kg/MT,Wholesale,Wholesale,Dry season 2 ( January to April),,,Survey,"Christian Genova II; Katinka Weinberger; Srun Sokhom; Phnom Penh; Mong Vanndy; Chan Yarith, (2006), Postharvest Loss In The Supply Chain For Vegetables – The Case Of Tomato, Yardlong Bean, Cucumber And Chinese Kale In Cambodia",,
116,Cambodia,,1234,Tomatoes,2006,2,2%,16kg/MT,Collection,Trader,Wet season  ( May to October),,,Survey,"Christian Genova II; Katinka Weinberger; Srun Sokhom; Phnom Penh; Mong Vanndy; Chan Yarith, (2006), Postharvest Loss In The Supply Chain For Vegetables – The Case Of Tomato, Yardlong Bean, Cucumber And Chinese Kale In Cambodia",,
116,Cambodia,,1234,Tomatoes,2006,13,13%,105kg/MT,Farm,Farm,Wet season  ( May to October),,,Survey,"Christian Genova II; Katinka Weinberger; Srun Sokhom; Phnom Penh; Mong Vanndy; Chan Yarith, (2006), Postharvest Loss In The Supply Chain For Vegetables – The Case Of Tomato, Yardlong Bean, Cucumber And Chinese Kale In Cambodia",,
116,Cambodia,,1234,Tomatoes,2006,5,5%,58kg/MT,Retailing,Retail,Dry season 2 ( January to April),,,Survey,"Christian Genova II; Katinka Weinberger; Srun Sokhom; Phnom Penh; Mong Vanndy; Chan Yarith, (2006), Postharvest Loss In The Supply Chain For Vegetables – The Case Of Tomato, Yardlong Bean, Cucumber And Chinese Kale In Cambodia",,
116,Cambodia,,1234,Tomatoes,2006,6,6%,105.0kg,Farm,Farm,Dry season 2 ( January to April),,,Survey,"Christian Genova II; Katinka Weinberger; Srun Sokhom; Phnom Penh; Mong Vanndy; Chan Yarith, (2006), Postharvest Loss In The Supply Chain For Vegetables – The Case Of Tomato, Yardlong Bean, Cucumber And Chinese Kale In Cambodia",,
